year,state,black_prop_vap,black,total_vap
1970,AL,0.22766175967134544,997500,4381500
1970,AK,0.03388406608793055,12100,357100
1970,AZ,0.0261235829188511,58300,2231700
1970,AR,0.15408155154598205,387700,2516200
1970,CA,0.061282923774530144,1624500,26508200
1970,CO,0.026404376183463075,75300,2851800
1970,CT,0.050742327620565963,203700,4014400
1970,DE,0.12676659528907924,88800,700500
1970,FL,0.12222007140706327,1136500,9298800
1970,GA,0.22551756023219577,1317000,5839900
1970,HI,0.010836229809854835,10600,978200
1970,ID,0.004024594745667971,3600,894500
1970,IL,0.10947901193816362,1592000,14541600
1970,IN,0.05988176307715334,400100,6681500
1970,IA,0.01068254097692245,39300,3678900
1970,KS,0.04307971257806729,128300,2978200
1970,KY,0.0675691836685881,282500,4180900
1970,LA,0.26802973147920806,1200800,4480100
1970,ME,0.002650658766664068,3400,1282700
1970,MD,0.15854787558847283,804900,5076700
1970,MA,0.02611464130191683,198500,7601100
1970,MI,0.10229283199599692,1144800,11191400
1970,MN,0.00803895162125764,38800,4826500
1970,MS,0.3127164223089958,848900,2714600
1970,MO,0.08828209125536395,549300,6222100
1970,MT,0.0034309240622140895,3000,874400
1970,NE,0.023391812865497075,45600,1949400
1970,NV,0.04503227838135727,28600,635100
1970,NH,0.0023973316656243485,2300,959400
1970,NJ,0.09215221224078583,878100,9528800
1970,NM,0.017551156213608386,21100,1202200
1970,NY,0.10485230268101196,2581600,24621300
1970,NC,0.19423762226097505,1280900,6594500
1970,ND,0.0038575286100038576,3000,777700
1970,OH,0.0825523444197434,1136300,13764600
1970,OK,0.05814564126502509,199300,3427600
1970,OR,0.010755792969031978,29800,2770600
1970,PA,0.07703339609052198,1219300,15828200
1970,RI,0.0228544776119403,29400,1286400
1970,SC,0.26027819757579496,843900,3242300
1970,SD,0.0030842230130486356,2600,843000
1970,TN,0.13842454330372725,713800,5156600
1970,TX,0.11248374512353707,1608900,14303400
1970,UT,0.006482213438735178,8200,1265000
1970,VT,0.0012369676621311187,700,565900
1970,VA,0.16559548793284365,1010000,6099200
1970,WA,0.01806422836752899,81000,4484000
1970,WV,0.03553475472352227,82000,2307600
1970,WI,0.022855721039348808,128600,5626600
1970,WY,0.008718190386427899,3700,424400
1980,AL,0.22957033307966984,313740,1366640
1980,AK,0.03350231430460657,4560,136110
1980,AZ,0.025087781263634663,24150,962620.0000000001
1980,AR,0.13886888055438265,111820,805220
1980,CA,0.0702320911417677,605060,8615150
1980,CO,0.03205999440926135,33260,1037429.9999999999
1980,CT,0.058702124482931245,66840,1138630
1980,DE,0.1405484357331323,29830,212240
1980,FL,0.11371738877005202,419450,3688530.0000000005
1980,GA,0.24118153742725687,459200,1903959.9999999998
1980,HI,0.01849056603773585,6370,344500
1980,ID,0.0028881773089721855,919.9999999999999,318540
1980,IL,0.1287865237366003,525610,4081250
1980,IN,0.0676732913734123,130959.99999999999,1935180
1980,IA,0.012535180151190602,13050,1041070.0000000001
1980,KS,0.047395577969227894,40600,856620.0000000001
1980,KY,0.06637685224138737,85200,1283580
1980,LA,0.26641120673409135,381690,1432710
1980,ME,0.002943157159603921,1180,400930
1980,MD,0.20835609136554775,316620,1519610
1980,MA,0.03361873226111637,71070,2114000
1980,MI,0.11647102601400494,378730,3251710
1980,MN,0.01064388961892247,15390,1445900
1980,MS,0.3106489789694688,264850,852570.0000000001
1980,MO,0.09335565212000294,165640,1774290.0000000002
1980,MT,0.0022674920817736827,630,277840
1980,NE,0.025658362989323842,14419.999999999998,562000
1980,NV,0.05327588565175762,15580.000000000002,292440
1980,NH,0.004394472057219057,1450,329960
1980,NJ,0.11019025843966447,295430,2681090
1980,NM,0.016481653139201014,7290.000000000001,442310.00000000006
1980,NY,0.12396068713249522,794350,6408080
1980,NC,0.20324533624921304,429370,2112570
1980,ND,0.0038153045740299154,880.0000000000001,230650
1980,OH,0.09208100257196429,354080,3845310
1980,OK,0.060038424591738714,65000,1082640
1980,OR,0.012312560907881086,11750,954310
1980,PA,0.08033253067308795,350290,4360500
1980,RI,0.024513153399385035,8610,351240
1980,SC,0.27319161445606044,297380,1088540
1980,SD,0.003137125402460167,760,242260
1980,TN,0.14279967329424242,234280.00000000003,1640620
1980,TX,0.11097472836729667,549700,4953380
1980,UT,0.007050221951431805,3240,459560.00000000006
1980,VT,0.0025124255830465893,459.99999999999994,183090
1980,VA,0.17409705961582295,336070,1930359.9999999998
1980,WA,0.023504787888514417,35150,1495440
1980,WV,0.03235620665292056,22440,693530
1980,WI,0.03190217066315852,53350,1672300
1980,WY,0.005985806849737736,969.9999999999999,162050
1990,AL,0.21392484674236822,309530,1446910
1990,AK,0.026504039936184446,5150,194310
1990,AZ,0.023559623971435403,30550,1296710
1990,AR,0.12639197556540652,106350,841429.9999999999
1990,CA,0.06053007791741204,646960,10688240
1990,CO,0.0292152117822401,36460,1247980
1990,CT,0.057545968189686145,70480,1224760
1990,DE,0.13613626028359999,32930,241890
1990,FL,0.10815336097533657,560030,5178110
1990,GA,0.24178364103050054,586850,2427170
1990,HI,0.02042002761427222,8430,412830
1990,ID,0.0024516242010331844,840,342630
1990,IL,0.0985675625233296,422500,4286400
1990,IN,0.055851610944035734,114030,2041659.9999999998
1990,IA,0.00913223957303815,9240,1011800
1990,KS,0.03774389244138383,34530,914850
1990,KY,0.05881595979017009,77700,1321070
1990,LA,0.2700750853242321,395660,1465000
1990,ME,0.003026608021599965,1390,459260.00000000006
1990,MD,0.20395991067051583,374450,1835900
1990,MA,0.035858126542808885,85560,2386070
1990,MI,0.08990432051270446,297960,3314190
1990,MN,0.009577118253113947,15569.999999999998,1625750
1990,MS,0.3263546798029557,304750,933800
1990,MO,0.075189646294399,141640,1883770
1990,MT,0.0022875933802766557,640,279770
1990,NE,0.021223868443878004,11990,564930
1990,NV,0.05279968280540993,23970,453980
1990,NH,0.0047562425683709865,2000,420500
1990,NJ,0.1019162830532063,314160,3082530
1990,NM,0.015121880546198703,8350,552180
1990,NY,0.10539553988055066,726170,6889950
1990,NC,0.19873913623766418,506280,2547460
1990,ND,0.0031162496612772107,690,221419.99999999997
1990,OH,0.08141081237351835,323840,3977850
1990,OK,0.05436970338983051,61590,1132800
1990,OR,0.011429174623585748,11910,1042070.0000000001
1990,PA,0.05169571073835482,232960,4506370
1990,RI,0.029180990369223503,11120,381070
1990,SC,0.27295850175373226,336970,1234510
1990,SD,0.0025879701131193387,620,239569.99999999997
1990,TN,0.1283085070447091,235500,1835420
1990,TX,0.0992313112142236,625320,6301640
1990,UT,0.005281277600533535,2930,554790
1990,VT,0.0030414520480745648,620,203850
1990,VA,0.16884123784418403,381100,2257150
1990,WA,0.0227616416952652,40790,1792050
1990,WV,0.028585749654449627,18820,658370
1990,WI,0.02274107564612997,40440,1778280
1990,WY,0.005176767676767677,819.9999999999999,158400
2000,AL,0.23255827976700152,385670,1658380
2000,AK,0.026164383561643835,5730,219000
2000,AZ,0.0258661754898536,48870,1889340.0000000002
2000,AR,0.12769712039785033,127359.99999999999,997360
